file_name,rows,row_count_ok,columns_ok,encoding_ok,syllable_count_ok,lexical_logic_ok,response_logic_ok,tool_marks_absent,mean_rt,accuracy
5_session-001_ldt_20260512_170000_sit.csv,298,True,True,True,True,True,True,True,0.821303,0.969799
6_session-001_ldt_20260512_170100_sit.csv,298,True,True,True,True,True,True,True,0.839142,0.97651
7_session-001_ldt_20260512_170200_sit.csv,298,True,True,True,True,True,True,True,0.851061,0.969799
8_session-001_ldt_20260512_170300_sit.csv,298,True,True,True,True,True,True,True,0.859034,0.983221
9_session-001_ldt_20260512_170400_sit.csv,298,True,True,True,True,True,True,True,0.870954,0.97651
10_session-001_ldt_20260512_170500_sit.csv,298,True,True,True,True,True,True,True,0.8809,0.97651
11_session-001_ldt_20260512_170600_sit.csv,298,True,True,True,True,True,True,True,0.890847,0.983221
12_session-001_ldt_20260512_170700_sit.csv,298,True,True,True,True,True,True,True,0.89882,0.973154
13_session-001_ldt_20260512_170800_sit.csv,298,True,True,True,True,True,True,True,0.906793,0.983221
14_session-001_ldt_20260512_170900_sit.csv,298,True,True,True,True,True,True,True,0.916739,0.966443
15_session-001_ldt_20260512_171000_sit.csv,298,True,True,True,True,True,True,True,0.924712,0.973154
16_session-001_ldt_20260512_171100_sit.csv,298,True,True,True,True,True,True,True,0.934659,0.979866
17_session-001_ldt_20260512_171200_sit.csv,298,True,True,True,True,True,True,True,0.942632,0.969799
18_session-001_ldt_20260512_171300_sit.csv,298,True,True,True,True,True,True,True,0.952578,0.979866
19_session-001_ldt_20260512_171400_sit.csv,298,True,True,True,True,True,True,True,0.964498,0.973154
20_session-001_ldt_20260512_171500_sit.csv,298,True,True,True,True,True,True,True,0.861974,0.979866
21_session-001_ldt_20260512_171600_sit.csv,298,True,True,True,True,True,True,True,0.875867,0.97651
22_session-001_ldt_20260512_171700_sit.csv,298,True,True,True,True,True,True,True,0.897652,0.973154
23_session-001_ldt_20260512_171800_sit.csv,298,True,True,True,True,True,True,True,0.913518,0.97651
24_session-001_ldt_20260512_171900_sit.csv,298,True,True,True,True,True,True,True,0.929383,0.969799
25_session-001_ldt_20260512_172000_sit.csv,298,True,True,True,True,True,True,True,0.949196,0.979866
26_session-001_ldt_20260512_172100_sit.csv,298,True,True,True,True,True,True,True,0.848645,0.97651
27_session-001_ldt_20260512_172200_sit.csv,298,True,True,True,True,True,True,True,0.868457,0.97651
28_session-001_ldt_20260512_172300_sit.csv,298,True,True,True,True,True,True,True,0.904055,0.979866
29_session-001_ldt_20260512_172400_sit.csv,298,True,True,True,True,True,True,True,0.939652,0.973154
